0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
160000,102849,103045,102993,102920,102860,102941,102983,102874,102755,102927,102876,102907,102968,102964,102928,102900,102896,102892,102820,102946,102964,102820,102799,102950,102974,102928,102863,102868,102919,102920,102974,102797,102855,102826,102946,102875,102785,102389,102835,102834,102737,102506,101654,101658,102588,102813,102877,102754,102870,102923,102862,102736,102867,102894,102754,103038,102863,102744,102857,102746,102729,102861,102913,102701,102796,102895,102806,102842,102824,102768,102629,102601,102900,102768,74668
102849,160000,102975,102843,102864,102849,102987,102894,102873,102847,102898,102940,102835,102944,102915,102930,102897,102862,102803,102956,102900,102919,102857,102861,102945,102933,102903,102861,102884,102829,102911,102891,102819,102840,102925,102858,102761,102805,102464,102844,102859,102717,102625,101987,101748,102676,102723,102818,102731,102834,102953,102806,102714,102779,102847,102759,102987,102823,102807,102883,102727,102697,102849,102956,102769,102791,102873,102696,102802,102826,102894,102652,102598,102835,102759,74474
103045,102975,160000,103196,103495,103455,103490,103514,103528,103354,103566,103492,103517,103543,103495,103503,103385,103404,103458,103398,103459,103583,103303,103421,103420,103530,103434,103465,103343,103374,103403,103517,103322,103382,103405,103418,103318,103329,103084,103411,103431,103250,103183,102303,102549,103098,103379,103309,103269,103464,103531,103338,103229,103390,103376,103374,103546,103443,103340,103375,103265,103227,103395,103447,103230,103366,103388,103332,103318,103446,103351,103138,103233,103513,103300,74844
102993,102843,103196,160000,103653,103582,103695,103682,103587,103394,103699,103607,103527,103724,103686,103601,103633,103604,103562,103466,103747,103701,103462,103661,103614,103754,103592,103602,103561,103659,103594,103624,103445,103494,103566,103518,103465,103609,103169,103520,104464,103361,103342,102404,102630,103320,103442,103588,103504,103651,103614,103595,103356,103579,103608,103437,103691,103459,103443,103649,103451,103390,103497,103645,103429,103461,103569,103495,103650,103527,103396,103289,103317,103536,103531,74965
102920,102864,103495,103653,160000,104129,104166,104268,104189,104099,104324,104088,104175,104210,104248,104136,104176,104113,104110,104136,104162,104248,103996,104231,104155,104220,104131,104145,104050,104224,104137,104145,104056,104022,104170,104124,104020,104049,103725,104120,104113,103949,103926,102941,103029,103858,103988,104025,104025,104198,104204,104094,103976,104156,104161,104037,104237,104104,103990,104127,104016,103966,104073,104247,103846,103996,104043,104007,104235,104120,104034,103882,103848,104096,104121,75514
102860,102849,103455,103582,104129,160000,104231,104194,104155,103924,104323,104130,104281,104288,104192,104151,104165,104044,104123,104077,104159,104237,104015,104223,104293,104249,104122,104065,103892,104047,104050,104124,104059,103924,104066,104047,104130,104078,103589,104059,104011,103923,103878,102941,103056,103849,103915,103989,103938,104085,104227,104074,103885,104007,104145,103891,104222,104105,104010,104145,103985,103881,104046,104113,103937,104076,104093,104125,104162,104193,104039,103758,103798,104136,104044,75550
102941,102987,103490,103695,104166,104231,160000,104342,104250,104118,104421,104210,104195,104257,104326,104332,104258,104352,104258,104170,104206,104353,104162,104206,104293,104301,104236,104222,104195,104157,104205,104300,104115,104109,104257,104257,104104,104219,103776,104126,104163,103929,103967,103099,103007,103948,104099,104166,104119,104299,104217,104133,103989,104199,104248,104172,104254,104203,104026,104203,104074,103976,104215,104238,104056,104060,104209,104161,104209,104254,104092,103921,103843,104223,104093,75696
102983,102894,103514,103682,104268,104194,104342,160000,104422,104187,104519,104230,104238,104516,104315,104383,104291,104293,104261,104218,104321,104335,104181,104343,104326,104384,104361,104390,104135,104258,104318,104476,104133,104101,104330,104341,104171,104253,103930,104271,104286,104037,104097,103245,103237,103955,104172,104212,104151,104355,104319,104334,104011,104293,104310,104151,104396,104317,104134,104191,104248,104107,104325,104314,104112,104257,104280,104164,104250,104359,104205,103854,103969,104281,104199,75665
102874,102873,103528,103587,104189,104155,104250,104422,160000,104058,104281,104228,104239,104330,104222,104303,104236,104235,104142,104178,104209,104210,104159,104141,104152,104469,104173,104223,104047,104167,104154,104213,103979,104012,104320,104178,104135,104197,103832,104162,104217,103983,103816,103086,103047,103862,103997,104100,104011,104317,104272,104108,103966,104247,104297,104054,104333,104148,104057,104124,103985,104055,104178,104207,103883,104149,104191,104026,104159,104139,104058,103782,103847,104187,104024,75490
102755,102847,103354,103394,104099,103924,104118,104187,104058,160000,104307,104110,104113,104243,104158,104069,104186,104095,103944,104134,104111,104091,103972,104083,104142,104110,104038,104114,104002,104034,104065,104066,105044,103951,104159,104075,104003,103985,103673,104084,104022,103830,103843,102953,102758,103774,103897,104022,103991,104110,104178,103908,103925,104066,104064,104011,104148,103927,103817,104102,103940,103811,104127,104146,103925,103986,103927,103971,104039,104056,104043,103805,103694,104038,103954,75604
102927,102898,103566,103699,104324,104323,104421,104519,104281,104307,160000,104396,104468,104436,104483,104479,104355,104352,104299,104350,104482,104495,104282,104354,104371,104516,104309,104354,104257,104331,104383,104437,104145,104147,104406,104396,104233,104225,103959,104373,104273,104063,104147,103318,103372,104035,104200,104385,104191,104317,104406,104320,104075,104338,104395,104270,104389,104237,104206,104443,104304,104072,104370,104389,104183,104196,104282,104269,104288,104434,104273,103996,103875,104353,104300,75705
102876,102940,103492,103607,104088,104130,104210,104230,104228,104110,104396,160000,104130,104271,104222,104192,104190,104221,104071,103988,104252,104298,104070,104057,104200,104252,104219,104054,104067,103997,104200,104135,104072,104112,104068,104155,104107,104161,103683,104144,104106,103861,103896,102946,103065,103941,104093,104035,104062,104144,104278,104092,104058,104123,104183,104017,104262,104129,103991,104099,104042,103988,104013,104149,103987,104190,104045,104037,104049,104164,103987,103813,103775,104153,104049,75650
102907,102835,103517,103527,104175,104281,104195,104238,104239,104113,104468,104130,160000,104357,104217,104181,104218,104112,104125,104207,104220,104254,104076,104117,104113,104317,104203,104189,104041,104176,104223,104294,104188,104018,104214,104059,104068,104014,103828,104197,104081,103995,103902,103094,103230,103822,103994,104098,103985,104135,104230,104126,103971,104136,104329,104134,104294,103990,103992,104187,104014,104065,104134,104127,103962,104028,104148,104080,104054,104211,104126,103838,103835,104240,104029,75456
102968,102944,103543,103724,104210,104288,104257,104516,104330,104243,104436,104271,104357,160000,104353,104251,104334,104299,104256,104268,104365,104304,104123,104271,104296,104342,104258,104247,104146,104162,104318,104330,104191,104017,104255,104137,104171,104248,103896,104276,104223,103988,104151,103202,103181,103925,104144,104188,104134,104241,104362,104244,104066,104247,104311,104115,104363,104144,104081,104154,104190,104122,104213,104226,104046,104312,104280,104199,104251,104333,104468,103909,103894,104298,104060,75597
102964,102915,103495,103686,104248,104192,104326,104315,104222,104158,104483,104222,104217,104353,160000,104249,104278,104371,104232,104205,104323,104369,104133,104194,104296,104380,104246,104200,104171,104171,104253,104329,104156,104164,104254,104370,104133,104169,103934,104361,104188,103991,104056,103106,103058,103966,104119,104212,104126,104317,104316,104271,104008,104270,104240,104149,104454,104279,104052,104371,104008,104006,104314,104358,104078,104265,104194,104221,104218,104256,104175,103896,103758,104284,104167,75619
102928,102930,103503,103601,104136,104151,104332,104383,104303,104069,104479,104192,104181,104251,104249,160000,104204,104191,104195,104209,104197,104310,104114,104232,104300,104341,104179,104223,104151,104064,104222,104179,104089,104048,104254,104224,104130,104080,103716,104146,104184,104041,103987,103049,103131,103905,104136,104185,104089,104138,104270,104074,103917,104165,104279,104207,104315,104113,104057,104239,104037,103971,104205,104187,103998,104085,104163,104028,104085,104201,104130,103825,103856,104126,104120,75637
102900,102897,103385,103633,104176,104165,104258,104291,104236,104186,104355,104190,104218,104334,104278,104204,160000,104149,104116,104221,104268,104273,104066,104282,104244,104331,104160,104220,104025,104103,104242,104225,104132,103948,104298,104168,104111,104113,103732,104180,104165,104062,103911,102991,103087,103898,104004,104213,104015,104141,104161,104146,103897,104128,104225,104059,104289,104164,103952,104128,104065,104002,104165,104262,104022,104068,104106,104135,104218,104196,104076,104085,103808,104139,104062,75572
102896,102862,103404,103604,104113,104044,104352,104293,104235,104095,104352,104221,104112,104299,104371,104191,104149,160000,104046,104091,104245,104380,104122,104113,104392,104203,104267,104149,104185,104083,104117,104238,104035,103950,104083,104247,104031,104163,103568,104119,104121,103871,103933,102953,102856,103895,104091,104213,104049,104205,104261,104141,104026,104233,104267,104040,104255,104149,103985,104127,104038,103929,104216,104168,104060,104197,104138,104010,104124,104213,104028,103854,103813,104159,104033,75708
102892,102803,103458,103562,104110,104123,104258,104261,104142,103944,104299,104071,104125,104256,104232,104195,104116,104046,160000,103992,104234,104251,103922,104101,104145,104234,104104,104109,103920,104162,104150,104064,104029,103915,104090,104091,104033,104088,103627,104096,104058,103793,103857,103117,102932,103789,104024,104050,104012,104193,104183,104080,103860,104140,104206,104009,104163,104116,103951,104124,103928,103923,104084,104101,103945,104092,104114,103995,104056,104179,104092,103762,103850,104174,104031,75534
102820,102956,103398,103466,104136,104077,104170,104218,104178,104134,104350,103988,104207,104268,104205,104209,104221,104091,103992,160000,104186,104208,103970,104095,104164,104211,104119,104152,104039,104004,104224,104155,103963,103942,104256,104303,103996,104083,103593,104123,104087,104069,103880,102981,102941,103873,103982,104057,103963,104101,104193,104117,103905,104047,104107,103921,104191,104004,103990,104094,104064,104078,104065,104198,103908,104039,104127,104035,104087,104131,104082,103880,103761,104110,103963,75522
102946,102900,103459,103747,104162,104159,104206,104321,104209,104111,104482,104252,104220,104365,104323,104197,104268,104245,104234,104186,160000,104252,104133,104133,104239,104268,104239,104160,104119,104127,104210,104211,104142,104107,104241,104124,104169,104119,103684,104265,104209,103942,103935,103181,103178,103890,104013,104149,104042,104315,104269,104033,104042,104154,104278,104107,104299,104139,104037,104093,104066,104052,104208,104204,104065,104082,104154,104007,104234,104178,104090,103850,103893,104245,104011,75488
102964,102919,103583,103701,104248,104237,104353,104335,104210,104091,104495,104298,104254,104304,104369,104310,104273,104380,104251,104208,104252,160000,104144,104295,104321,104429,104278,104222,104173,104231,104338,104339,104132,104076,104217,104237,104093,104191,103747,104259,104188,104005,104052,103149,103167,103900,104072,104242,104138,104598,104304,104263,104087,104251,104243,104202,104301,104228,104089,104290,104069,104005,104187,104347,103968,104157,104201,104184,104194,104273,104189,104055,103919,104139,104264,75683
102820,102857,103303,103462,103996,104015,104162,104181,104159,103972,104282,104070,104076,104123,104133,104114,104066,104122,103922,103970,104133,104144,160000,103991,104166,104093,104014,103964,103955,103934,104142,104140,103901,103858,104010,103992,103989,103987,103662,104056,104057,103796,103838,102932,102870,103873,103904,103972,103922,104098,104076,104015,103967,104106,104140,104016,104169,104010,103925,103998,103858,103879,104059,104059,103895,103917,104019,103976,104144,103995,103840,103763,103732,104064,103892,75418
102799,102861,103421,103661,104231,104223,104206,104343,104141,104083,104354,104057,104117,104271,104194,104232,104282,104113,104101,104095,104133,104295,103991,160000,104220,104297,104144,104214,103940,104143,104206,104203,104170,103944,104160,104154,103960,104178,103681,104144,104052,103938,103938,103060,103013,103875,103961,104090,104082,104170,104192,104101,103853,104116,104200,104093,104240,104120,104016,104219,103982,103989,104161,104152,103969,104057,104070,104139,104096,104147,104133,103771,103808,104170,104196,75584
102950,102945,103420,103614,104155,104293,104293,104326,104152,104142,104371,104200,104113,104296,104296,104300,104244,104392,104145,104164,104239,104321,104166,104220,160000,104346,104270,104212,104158,104111,104217,104246,104199,104061,104138,104316,104367,104214,103762,104170,104190,103954,103937,103128,103074,103959,104018,104217,104054,104175,104283,104157,104061,104232,104191,104079,104287,104177,104132,104243,104115,103983,104291,104514,104109,104203,104156,104141,104205,104172,104087,103895,103928,104180,104155,75826
102974,102933,103530,103754,104220,104249,104301,104384,104469,104110,104516,104252,104317,104342,104380,104341,104331,104203,104234,104211,104268,104429,104093,104297,104346,160000,104207,104310,104111,104148,104342,104382,104142,104063,104232,104208,104098,104191,103871,104349,104177,104093,104004,103151,103193,103938,104158,104197,104140,104247,104359,104310,104022,104236,104274,104217,104351,104138,104074,104241,104128,103945,104233,104302,104068,104185,104227,104091,104167,104212,104163,103860,103874,104241,104103,75692
102928,102903,103434,103592,104131,104122,104236,104361,104173,104038,104309,104219,104203,104258,104246,104179,104160,104267,104104,104119,104239,104278,104014,104144,104270,104207,160000,104153,104034,104149,104169,104208,104021,104074,104175,104147,104001,104051,103712,104072,104144,103932,103996,103016,103041,103887,103967,104115,104001,104222,104237,104005,104049,104202,104188,104005,104206,104124,104043,104043,104029,103905,104178,104217,103992,103993,104121,104064,104070,104207,103995,103864,103871,104204,104120,75713
102863,102861,103465,103602,104145,104065,104222,104390,104223,104114,104354,104054,104189,104247,104200,104223,104220,104149,104109,104152,104160,104222,103964,104214,104212,104310,104153,160000,104164,104188,104220,104228,104031,104041,104174,104234,104113,104071,103750,104249,104064,103916,103794,103065,103017,103871,104025,104057,104173,104162,104188,104078,103993,104157,104207,104140,104299,104117,103947,104118,103989,103960,104240,104171,104134,104034,104145,104112,104083,104176,104089,103866,103865,104073,103982,75555
102868,102884,103343,103561,104050,103892,104195,104135,104047,104002,104257,104067,104041,104146,104171,104151,104025,104185,103920,104039,104119,104173,103955,103940,104158,104111,104034,104164,160000,103979,104052,104110,103946,104051,104084,104185,103930,104004,103508,104037,104018,103766,103747,102974,102880,103729,103943,103986,104038,104130,104099,104028,103919,104112,104151,103992,104108,103980,103835,104039,103847,103915,104029,104034,103982,103887,104028,103960,104043,104058,103914,103761,103829,104024,103931,75555
102919,102829,103374,103659,104224,104047,104157,104258,104167,104034,104331,103997,104176,104162,104171,104064,104103,104083,104162,104004,104127,104231,103934,104143,104111,104148,104149,104188,103979,160000,104166,104083,104031,104008,104118,104121,104020,104023,103619,104016,104010,103965,103830,102913,102775,103859,103999,104116,103947,104119,104186,104092,103901,104137,104144,104011,104162,104004,103930,104022,103910,103862,104078,104153,103917,104039,104104,103976,104089,104182,103993,103886,103829,103991,104016,75525
102920,102911,103403,103594,104137,104050,104205,104318,104154,104065,104383,104200,104223,104318,104253,104222,104242,104117,104150,104224,104210,104338,104142,104206,104217,104342,104169,104220,104052,104166,160000,104224,104028,103995,104277,104165,104022,104113,103639,104201,104158,104031,103884,103091,103102,103827,104067,104174,103929,104147,104199,104190,103951,104240,104137,104107,104251,104160,103999,104195,104042,104007,104122,104269,104002,104088,104059,104062,104077,104183,104200,103951,103798,104254,104033,75702
102974,102891,103517,103624,104145,104124,104300,104476,104213,104066,104437,104135,104294,104330,104329,104179,104225,104238,104064,104155,104211,104339,104140,104203,104246,104382,104208,104228,104110,104083,104224,160000,104069,104094,104245,104237,104102,104198,103857,104187,104234,103999,103902,103115,103040,103877,104025,104234,104057,104182,104192,104241,103923,104182,104269,104100,104264,104132,104140,104144,104085,104003,104304,104309,103967,104186,104127,104098,104085,104230,104092,103856,103901,104233,104061,75582
102797,102819,103322,103445,104056,104059,104115,104133,103979,105044,104145,104072,104188,104191,104156,104089,104132,104035,104029,103963,104142,104132,103901,104170,104199,104142,104021,104031,103946,104031,104028,104069,160000,103956,104104,103974,103975,103910,103502,104056,103998,103768,103768,102960,102839,103795,103882,103975,103869,104086,104124,103955,103758,104083,104097,103908,104189,103976,103946,104051,103932,103882,104154,104052,103858,104016,103936,103941,103952,104132,103990,103719,103655,104021,103907,75442
102855,102840,103382,103494,104022,103924,104109,104101,104012,103951,104147,104112,104018,104017,104164,104048,103948,103950,103915,103942,104107,104076,103858,103944,104061,104063,104074,104041,104051,104008,103995,104094,103956,160000,104028,103992,103998,103949,103584,104025,103936,103817,103580,102910,102562,103781,103836,103951,103971,103973,104152,103909,103895,103915,104047,103912,104107,103992,103940,104001,103897,103809,103963,104079,103897,103989,103884,103884,103943,104036,104015,103785,103678,104098,103986,75624
102826,102925,103405,103566,104170,104066,104257,104330,104320,104159,104406,104068,104214,104255,104254,104254,104298,104083,104090,104256,104241,104217,104010,104160,104138,104232,104175,104174,104084,104118,104277,104245,104104,104028,160000,104158,104047,104181,103710,104189,104164,103975,103872,103053,103143,103935,104012,104145,104034,104097,104254,104040,104028,104231,104222,104157,104192,104136,103937,104100,104063,104005,104148,104200,103920,104093,104140,104055,104039,104177,104191,103888,103881,104161,104021,75585
102946,102858,103418,103518,104124,104047,104257,104341,104178,104075,104396,104155,104059,104137,104370,104224,104168,104247,104091,104303,104124,104237,103992,104154,104316,104208,104147,104234,104185,104121,104165,104237,103974,103992,104158,160000,104018,104060,103682,104125,104176,103902,103747,102932,103017,103908,104104,104108,104034,104251,104205,104168,104027,104178,104229,104052,104259,104047,104005,104220,104074,104104,104079,104229,103871,104102,104020,104064,104048,104134,103988,103646,103832,104107,104111,75575
102875,102761,103318,103465,104020,104130,104104,104171,104135,104003,104233,104107,104068,104171,104133,104130,104111,104031,104033,103996,104169,104093,103989,103960,104367,104098,104001,104113,103930,104020,104022,104102,103975,103998,104047,104018,160000,104050,103623,104006,103951,103827,103814,102712,102706,103756,103929,103948,103916,103957,104214,103905,103933,103974,104186,103987,104082,104099,103884,104080,103870,103859,104083,104060,103839,104055,104107,104000,104033,104140,103946,103800,103684,104032,103885,75449
102785,102805,103329,103609,104049,104078,104219,104253,104197,103985,104225,104161,104014,104248,104169,104080,104113,104163,104088,104083,104119,104191,103987,104178,104214,104191,104051,104071,104004,104023,104113,104198,103910,103949,104181,104060,104050,160000,103741,104078,104038,104009,103876,103084,102850,103822,103977,104048,103881,104123,104172,104083,103893,104122,104060,103978,104293,104119,103994,103965,103973,103884,104066,104229,103898,104081,104119,104012,104137,104113,103968,103778,103770,104182,103938,75558
102389,102464,103084,103169,103725,103589,103776,103930,103832,103673,103959,103683,103828,103896,103934,103716,103732,103568,103627,103593,103684,103747,103662,103681,103762,103871,103712,103750,103508,103619,103639,103857,103502,103584,103710,103682,103623,103741,160000,103848,103680,103489,104139,102469,102582,103537,103562,103732,103540,103602,103816,103755,103525,103727,103712,103744,103799,103697,103532,103730,103617,103595,103762,103768,103547,103791,103721,103787,103743,103794,103608,103300,103326,103774,103535,74959
